"stock.id","species","stock","region","sub.region","jurisdiction","lat","lon","source.id","comment","ocean.region"
"201","Pink","Puyallup","Inside WA","Inside WA","WA","47.26972","122.4272","7","","WC"
"202","Pink","Hood Canal","Inside WA","Inside WA","WA","47.5644","122.9956","7","Sum of Dosewallips, Duckabush, and Hamma Hamma","WC"
"203","Pink","Snohomish","Inside WA","Inside WA","WA","48.02139","122.2072","7","","WC"
"204","Pink","Dungeness","Inside WA","Inside WA","WA","48.1508","123.1333","7","","WC"
"205","Pink","Stillaguamish","Inside WA","Inside WA","WA","48.23861","122.3758","7","","WC"
"206","Pink","Skagit","Inside WA","Inside WA","WA","48.3875","122.3656","7","","WC"
"207","Pink","Nooksack","Inside WA","Inside WA","WA","48.775","122.5978","7","","WC"
"208","Pink","Fraser","Fraser River","BC South","BC","49.12333","123.0569","17","","WC"
"209","Pink","BC South (no Fraser)","BC South","BC South","BC","50.28778","125.2008","3","Statistical Areas 11-16","WC"
"210","Pink","Area 10","BC Central","BC Central","BC","51.28722","127.6819","4","","WC"
"211","Pink","Area 9","BC Central","BC Central","BC","51.46556","127.7422","4","","WC"
"212","Pink","Area 8","BC Central","BC Central","BC","51.62194","127.8289","4","","WC"
"213","Pink","Area 7","BC Central","BC Central","BC","52.12916","128.380149","4","","WC"
"214","Pink","Area 6","BC North","BC North","BC","53.08889","129.1992","4","","WC"
"215","Pink","Area 5","BC North","BC North","BC","53.66302","130.423874","4","","WC"
"216","Pink","Area 4","BC North","BC North","BC","54.247243","130.477433","4","","WC"
"217","Pink","Area 3","BC North","BC North","BC","54.676678","130.502152","4","","WC"
"218","Pink","Area 2W","BC North","BC North","BC","52.988408","132.411026","4","","WC"
"219","Pink","Area 2E","BC North","BC North","BC","53.0175","131.5778","4","","WC"
"220","Pink","Area 1","BC North","BC North","BC","54.071771","132.204764","4","","WC"
"221","Pink","S SEAK","SEAK","SEAK","AK","55.71556","131.8714","5, 6","Districts 101-108","WC"
"222","Pink","N SEAK Outside","SEAK","SEAK","AK","57.17694","135.7869","5, 6","Districts 109-112, 114, 115","WC"
"223","Pink","N SEAK Inside","SEAK","SEAK","AK","57.57528","134.7503","5, 6","District 113","WC"
"224","Pink","Situk","Yakutat","Yakutat","AK","59.43353","139.5467","5, 7","","WC"
"225","Pink","Humpy","Yakutat","Yakutat","AK","59.6444","139.5844","5, 7","","WC"
"226","Pink","PWS","PWS","PWS","AK","60.5","147","8","","GOA"
"227","Pink","S CIn","Cook Inlet","Cook Inlet","AK","59.52528","151.48","9","Sum of Humpy Creek, Seldovia Bay","GOA"
"228","Pink","Outer CIn","Cook Inlet","Cook Inlet","AK","59.38389","150.7528","9","Sum of Port Chatham, Port Dick, Rocky River, Windy Creek, South Nuka","GOA"
"229","Pink","Kamishak","Cook Inlet","Cook Inlet","AK","59.27","154.1175","9","Sum of Bruin River, Sunday Creek, Brown's Peak Creek","GOA"
"230","Pink","Afognak","Kodiak","Kodiak","AK","58.26222","152.5883","10","","GOA"
"231","Pink","W Kod","Kodiak","Kodiak","AK","57.11389","154.4947","10","","GOA"
"232","Pink","Alitak","Kodiak","Kodiak","AK","56.88528","154.1217","10","","GOA"
"233","Pink","E Kod","Kodiak","Kodiak","AK","57.089858","153.187928","10","","GOA"
"234","Pink","Mainland Kod","Kodiak","Kodiak","AK","58.03333","154.6644","10","","GOA"
"235","Pink","Chignik Bay","Chignik","Chignik","AK","56.38528","158.2261","11, 12","","GOA"
"236","Pink","Central Chig","Chignik","Chignik","AK","56.59639","157.9933","11, 12","","GOA"
"237","Pink","E Chig","Chignik","Chignik","AK","56.98528","156.5806","11, 12","","GOA"
"238","Pink","W Chig","Chignik","Chignik","AK","56.06667","158.6756","11, 12","","GOA"
"239","Pink","Perryville","Chignik","Chignik","AK","55.85417","159.3314","11, 12","","GOA"
"240","Pink","SE-SC AKPen","AK Peninsula","AK Peninsula","AK","55.5","161","10","Sum of Southeastern and Southcentral Districts","BS"
"241","Pink","SW-Unimak","AK Peninsula","AK Peninsula","AK","54.5","163.5","10","Sum of Southwestern and Unimak Districts","BS"
"242","Pink","NW AKPen","AK Peninsula","AK Peninsula","AK","54.982","163.37","10","","BS"
"243","Pink","Nushagak","Bristol Bay","Bristol Bay","AK","58.62222","158.5911","13","","BS"
"244","Pink","Unalakleet","AYK","AYK","AK","63.86944","160.7878","14, 15","","BS"
"245","Pink","Nome","AYK","AYK","AK","64.4828","165.305","14, 15","","BS"
"246","Pink","Moses-Norton","AYK","AYK","AK","64.64","161.55","14, 15","Sum of Moses Point and Norton Bay Subdistricts","BS"
"251","Pink","Nahwitti (odd)","WC","BC Central","BC","50.43","128","16","","WC"
"253","Pink","Hecate Strait-Fjords (even)","WC","BC Central","BC","52.45","129.1","16","","WC"
"254","Pink","Nass-Skeena Estuary (even)","SEAK","BC North","BC","54.09","130.21","16","","WC"
"255","Pink","Hecate Strait-Fjords (odd)","WC","BC Central","BC","52.45","129.1","16","","WC"
"256","Pink","Hecate Lowlands","WC","BC Central","BC","52.45","129.1","16","","WC"
"257","Pink","Middle-Upper Skeena (even)","SEAK","BC North","BC","54.09","130.21","16","","WC"
"258","Pink","Hecate Strait-Lowlands","WC","BC Central","BC","52.45","129.1","16","","WC"
"259","Pink","Lower Skeena River ","SEAK","BC North","BC","54.09","130.21","16","","WC"
"260","Pink","Middle-Upper Skeena (odd)","WC","BC North","BC","54.09","130.21","16","","WC"
"261","Pink","Nass-Skeena Estuary (odd)","SEAK","BC North","BC","54.09","130.21","16","","WC"
"263","Pink","North Haida Gwaii","SEAK","BC North","BC","54.09","132.14","16","","WC"
"264","Pink","East Haida Gwaii","SEAK","BC North","BC","52.66","131.29","16","","WC"
"265","Pink","West Haida Gwaii","SEAK","BC North","BC","52.6","132.09","16","","WC"
"266","Pink","Homathko-Klinaklini-Smith-Rivers-Bella Coola-Dean","WC","BC Central","BC","51.44111597","127.78","16","","WC"
"267","Pink","Georgia Strait (even)","WC","BC South","BC","49.80573928","124.0410067","16","","WC"
"268","Pink","Georgia Strait (odd)","WC","BC South","BC","49.80573928","124.0410067","16","","WC"
"270","Pink","Southern Fjords (even)","WC","BC South","BC","50.88","126.61","16","","WC"
"247","Pink","Nisqually","Inside WA","Inside WA","WA","47.101","-122.706","7",NA,"WC"
"248","Pink","S South Misc.","Inside WA","Inside WA","WA","447.16","-122.91","7",NA,"WC"
