Species,Decade,DataQualityType,Anderson/Seton_Early Summer,Bowron_Early Summer,Chilko_Early Summer & Chilko_Summer,Cultus_Late,Francois/Fraser_Summer,Harrison River,Harrison-upstream migrating_Late,Kamloops_Early Summer,Lillooet/Harrison_Late,Nadina-Francois-ES,North Barriere_Early Summer<<Bin>>,Pitt_Early Summer,Quesnel_Summer,Seton_Late<<Bin>>,Shuswap Complex_Late,Shuswap_Early Summer,Takla/Trembleur/Stuart_Summer,Takla/Trembleur_Early Stuart,Osoyoos,Great Central,Sproat,PFMA 1,Awun,Marian/Eden,Yakoun,PFMA 2E,Mathers,Skidegate,PFMA 2W,Mercer,PFMA 3,Damdochax,Fred Wright,Lower Nass - Portland,Meziadin,PFMA 4,Alastair,Azuklotz,Bear,Damshilgwit,Johnston,Kitsumkalum,Kitwancool,Lakelse,Mcdonell,Morice,Motase,Prudhomme,Shawatlan,Stephens,Swan,Tahlo/Morrison,Babine-Early-Wild,Babine-Fulton,Babine-Late-Wild,Babine-Mid-Wild,Babine-Pinkut,PFMA 5,Curtis Inlet,Devon,Freeda,Keecha,Kooryet,Lowe/Simpson/Weare,Mikado,Tsimtack/Moore/Roger,PFMA 6,Bloomfield,Canoona,Evelyn,Hartley Bay,Kitlope,Kwakwa Creek,PFMA 7,Kadjusdis River,Kainet Creek,Mary Cove Creek,Roderick,Tankeeah River,PFMA 8,Koeye,Namu,Port John,Northern Coastal Fjords,PFMA 9,Owikeno,PFMA 10,Long
Sockeye,1951 - 1960,SQ,NA,4.0,4.0,5.0,4.0,4.0,NA,3.0,4.0,NA,NA,4.0,4.0,NA,4.0,NA,3.9,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,2.0,1.5,NA,NA,2.0,NA,2.0,3.0,2.0,NA,2.0,3.0,2.0,NA,2.0,NA,NA,NA,NA,NA,NA,1.0,1.0,NA,1.0,2.0,1.0,2.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sockeye,1951 - 1960,CQ,NA,2.0,2.0,2.0,2.0,2.0,NA,2.0,2.0,NA,NA,2.0,2.0,NA,2.0,NA,2.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0,3.0,3.0,NA,NA,3.0,NA,3.0,3.0,3.0,NA,3.0,3.0,3.0,NA,3.0,NA,NA,NA,NA,NA,NA,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sockeye,1951 - 1960,AQ,NA,3.0,3.0,3.0,3.0,3.0,NA,3.0,3.0,NA,NA,3.0,3.0,NA,3.0,NA,3.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,2.0,2.0,NA,NA,2.0,NA,2.0,2.0,2.0,NA,2.0,2.0,2.0,NA,2.0,NA,NA,NA,NA,NA,NA,2.0,2.0,NA,2.0,2.0,2.0,2.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sockeye,1951 - 1960,RQ,NA,3.3,3.3,3.8,3.3,3.3,NA,2.8,3.3,NA,NA,3.3,3.3,NA,3.3,NA,3.2,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.3,2.0,NA,NA,2.3,NA,2.3,2.8,2.3,NA,2.3,2.8,2.3,NA,2.3,NA,NA,NA,NA,NA,NA,1.3,1.3,NA,1.3,1.8,1.3,1.8,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sockeye,1961 - 1970,SQ,3.0,3.3,3.8,5.0,4.0,4.0,3.4,3.0,4.0,NA,3.0,4.0,4.0,3.0,4.0,NA,4.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2.0,2.0,1.5,NA,1.0,2.0,NA,2.0,3.0,2.0,NA,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,NA,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sockeye,1961 - 1970,CQ,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,NA,2.0,2.0,2.0,2.0,2.0,NA,2.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,3.0,3.0,3.0,NA,3.0,3.0,NA,3.0,3.0,3.0,NA,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sockeye,1961 - 1970,AQ,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,NA,3.0,3.0,3.0,3.0,3.0,NA,3.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,2.0,2.0,2.0,NA,2.0,2.0,NA,2.0,2.0,2.0,NA,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,NA,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sockeye,1961 - 1970,RQ,2.8,2.9,3.2,3.8,3.3,3.3,3.0,2.8,3.3,NA,2.8,3.3,3.3,2.8,3.3,NA,3.3,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.3,2.3,2.0,NA,1.8,2.3,NA,2.3,2.8,2.3,NA,2.3,2.8,2.3,2.3,2.3,2.8,2.8,2.8,2.8,2.8,NA,1.3,1.3,1.3,1.3,1.8,1.3,1.8,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sockeye,1971 - 1980,SQ,3.0,3.0,4.0,5.0,4.0,3.3,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,NA,4.0,4.0,NA,3.0,3.0,2.3,2.0,2.0,3.0,3.0,NA,4.0,NA,3.0,NA,1.0,2.0,2.0,5.0,3.5,2.0,NA,NA,NA,1.0,2.0,NA,2.0,3.0,2.0,NA,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,NA,1.0,1.0,NA,NA,NA,1.0,2.0,NA,1.9,2.0,2.0,3.0,2.0,2.0,2.0,1.4,2.0,1.0,NA,NA,3.0,1.5,NA,2.0,1.0,1.3,2.0,2.4,3.0,3.0
Sockeye,1971 - 1980,CQ,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,NA,2.0,2.0,NA,2.5,2.5,2.0,1.0,1.0,1.0,2.0,NA,1.0,NA,1.5,NA,1.0,1.0,1.0,1.0,2.0,3.0,NA,NA,NA,3.0,3.0,NA,3.0,3.0,3.0,NA,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,NA,1.0,1.0,NA,NA,NA,1.0,1.0,NA,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,NA,NA,1.0,2.0,NA,1.0,1.0,1.0,2.0,1.5,2.0,1.5
Sockeye,1971 - 1980,AQ,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,NA,3.0,3.0,NA,4.0,4.0,2.0,2.0,2.0,2.0,2.0,NA,2.0,NA,2.0,NA,2.0,2.0,2.0,2.0,2.0,2.0,NA,NA,NA,2.0,2.0,NA,2.0,2.0,2.0,NA,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,NA,2.0,2.0,NA,NA,NA,2.0,2.0,NA,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,NA,NA,2.0,2.0,NA,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Sockeye,1971 - 1980,RQ,2.8,2.8,3.3,3.8,3.3,2.9,3.3,2.8,3.3,2.8,2.8,3.3,3.3,2.8,3.3,NA,3.3,3.3,NA,3.1,3.1,2.2,1.8,1.8,2.3,2.5,NA,2.8,NA,2.4,NA,1.3,1.8,1.8,3.3,2.8,2.3,NA,NA,NA,1.8,2.3,NA,2.3,2.8,2.3,NA,2.3,2.8,2.3,2.3,2.3,2.8,2.8,2.8,2.8,2.8,NA,1.3,1.3,NA,NA,NA,1.3,1.8,NA,1.9,1.8,1.8,2.3,1.8,1.8,1.8,1.7,1.8,1.3,NA,NA,2.3,1.8,NA,1.8,1.3,1.4,2.0,2.1,2.5,2.4
Sockeye,1981 - 1990,SQ,3.0,3.3,4.0,5.0,4.0,3.0,3.8,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.9,4.0,3.0,4.0,4.0,2.3,2.0,2.0,3.0,3.0,2.0,4.0,NA,3.0,3.8,1.0,2.0,2.0,5.0,3.5,2.0,2.0,1.5,NA,NA,2.0,NA,2.0,3.0,2.0,NA,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,NA,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.9,2.0,2.0,3.0,2.0,2.0,2.0,1.4,2.0,1.0,1.0,NA,3.0,1.5,1.0,2.0,1.0,1.3,2.0,2.4,3.0,3.0
Sockeye,1981 - 1990,CQ,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.5,2.5,2.0,1.0,1.0,1.0,2.0,1.0,1.0,NA,1.5,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,NA,NA,3.0,NA,3.0,3.0,3.0,NA,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,NA,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.5,2.0,1.5
Sockeye,1981 - 1990,AQ,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.3,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,NA,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,NA,NA,2.0,NA,2.0,2.0,2.0,NA,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,NA,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,NA,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Sockeye,1981 - 1990,RQ,2.8,2.8,3.3,3.8,3.3,2.8,3.2,2.8,3.3,2.8,2.8,3.3,3.3,2.8,3.3,3.3,3.2,3.3,3.3,3.6,3.6,2.2,1.8,1.8,2.3,2.5,1.8,2.8,NA,2.4,2.9,1.3,1.8,1.8,3.3,2.8,2.3,2.3,2.0,NA,NA,2.3,NA,2.3,2.8,2.3,NA,2.3,2.8,2.3,2.3,2.3,2.8,2.8,2.8,2.8,2.8,NA,1.3,1.3,1.3,1.3,1.8,1.3,1.8,1.3,1.9,1.8,1.8,2.3,1.8,1.8,1.8,1.7,1.8,1.3,1.3,NA,2.3,1.8,1.3,1.8,1.3,1.4,2.0,2.1,2.5,2.4
Sockeye,1991 - 2000,SQ,3.0,3.1,4.0,5.0,4.7,3.0,3.5,3.0,3.8,3.0,3.0,4.0,3.9,3.0,4.0,4.0,4.0,4.0,3.2,4.0,4.0,2.2,2.0,2.0,3.0,3.0,NA,4.0,NA,3.0,3.8,1.0,2.0,NA,5.0,3.5,2.0,2.0,1.5,NA,NA,2.0,NA,2.0,NA,2.0,2.0,1.9,3.0,NA,NA,2.0,2.0,2.0,2.0,2.0,2.0,NA,1.0,1.0,1.0,1.0,NA,1.0,2.0,NA,1.9,2.0,2.0,3.0,NA,2.0,NA,1.3,NA,1.0,1.0,1.0,NA,1.5,1.0,2.0,NA,1.3,2.0,2.4,3.0,3.0
Sockeye,1991 - 2000,CQ,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.5,2.5,2.0,1.0,1.0,1.0,2.0,NA,1.0,NA,1.5,2.0,1.0,1.0,NA,1.0,2.0,3.0,3.0,3.0,NA,NA,3.0,NA,3.0,NA,3.0,3.0,3.0,3.0,NA,NA,3.0,3.0,3.0,3.0,3.0,3.0,NA,1.0,1.0,1.0,1.0,NA,1.0,1.0,NA,2.0,1.0,1.0,1.0,NA,1.0,NA,2.0,NA,1.0,1.0,1.0,NA,2.0,1.0,1.0,NA,1.0,2.0,1.5,2.0,1.5
Sockeye,1991 - 2000,AQ,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.8,4.0,4.0,2.0,2.0,2.0,2.0,2.0,NA,2.0,NA,2.0,2.0,2.0,2.0,NA,2.0,2.0,2.0,2.0,2.0,NA,NA,2.0,NA,2.0,NA,2.0,2.0,2.0,2.0,NA,NA,2.0,4.0,4.0,4.0,4.0,4.0,NA,2.0,2.0,2.0,2.0,NA,2.0,2.0,NA,2.0,2.0,2.0,2.0,NA,2.0,NA,2.0,NA,2.0,2.0,2.0,NA,2.0,2.0,2.0,NA,2.0,2.0,2.0,2.0,2.0
Sockeye,1991 - 2000,RQ,2.8,2.8,3.3,3.8,3.6,2.8,3.0,2.8,3.2,2.8,2.8,3.3,3.2,2.8,3.3,3.3,3.3,3.3,3.3,3.6,3.6,2.1,1.8,1.8,2.3,2.5,NA,2.8,NA,2.4,2.9,1.3,1.8,NA,3.3,2.8,2.3,2.3,2.0,NA,NA,2.3,NA,2.3,NA,2.3,2.3,2.2,2.8,NA,NA,2.3,2.8,2.8,2.8,2.8,2.8,NA,1.3,1.3,1.3,1.3,NA,1.3,1.8,NA,1.9,1.8,1.8,2.3,NA,1.8,NA,1.7,NA,1.3,1.3,1.3,NA,1.8,1.3,1.8,NA,1.4,2.0,2.1,2.5,2.4
Sockeye,2001 - 2010,SQ,3.0,3.0,4.0,NA,5.0,2.7,3.3,3.0,2.8,3.0,3.0,4.0,3.5,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.3,2.0,NA,3.0,3.0,NA,4.0,NA,3.0,3.8,NA,NA,2.0,5.0,3.5,2.0,NA,NA,3.0,NA,2.0,5.0,1.7,3.0,2.0,2.0,2.0,NA,2.0,2.0,NA,2.0,2.0,2.0,2.0,2.0,NA,1.0,1.0,NA,NA,NA,NA,NA,NA,1.7,2.0,NA,3.0,2.0,NA,NA,1.4,NA,NA,NA,NA,NA,1.5,NA,NA,NA,1.3,2.0,2.4,3.0,3.0
Sockeye,2001 - 2010,CQ,3.0,3.0,3.0,NA,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.5,2.5,2.0,1.0,NA,1.0,2.0,NA,1.0,NA,1.5,2.0,NA,NA,1.0,1.0,2.0,3.0,NA,NA,3.0,NA,3.0,3.0,3.0,3.0,3.0,3.0,3.0,NA,3.0,3.0,NA,3.0,3.0,3.0,3.0,3.0,NA,1.0,1.0,NA,NA,NA,NA,NA,NA,2.0,1.0,NA,1.0,1.0,NA,NA,2.0,NA,NA,NA,NA,NA,2.0,NA,NA,NA,1.0,2.0,1.5,2.0,1.5
Sockeye,2001 - 2010,AQ,3.0,3.0,3.0,NA,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,2.0,2.0,NA,2.0,2.0,NA,2.0,NA,2.0,2.0,NA,NA,2.0,2.0,2.0,2.0,NA,NA,2.0,NA,2.0,2.0,2.0,2.0,2.0,2.0,2.0,NA,2.0,2.0,NA,4.0,4.0,4.0,4.0,4.0,NA,2.0,2.0,NA,NA,NA,NA,NA,NA,2.0,2.0,NA,2.0,2.0,NA,NA,2.0,NA,NA,NA,NA,NA,2.0,NA,NA,NA,2.0,2.0,2.0,2.0,2.0
Sockeye,2001 - 2010,RQ,3.0,3.0,3.5,NA,4.0,3.0,3.2,3.0,3.6,3.0,3.0,3.5,3.3,3.0,3.5,3.5,3.5,3.5,4.3,3.6,3.6,2.2,1.8,NA,2.3,2.5,NA,2.8,NA,2.4,2.9,NA,NA,1.8,3.3,2.8,2.3,NA,NA,2.8,NA,2.3,3.8,2.1,2.8,2.3,2.3,2.3,NA,2.3,2.3,NA,2.8,2.8,2.8,2.8,2.8,NA,1.3,1.3,NA,NA,NA,NA,NA,NA,1.9,1.8,NA,2.3,1.8,NA,NA,1.7,NA,NA,NA,NA,NA,1.8,NA,NA,NA,1.4,2.0,2.1,2.5,2.4
Species,Decade,DataQualityType,ISC Aggregate,PFMA 1,North Haida Gwaii,PFMA 2E,East Haida Gwaii,PFMA 2W,West Haida Gwaii,PFMA 3,Nass-Skeena Estuary,PFMA 4,Middle & Upper Skeena,PFMA 5,PFMA 6,PFMA 7,PFMA 8,PFMA 9,PFMA 10,Hecate Lowlands (PFMAs 5-10),Hecate Strait-Fjords (PFMAs 6-10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (even),1952 - 1960,SQ,2.0,NA,NA,NA,NA,NA,NA,2.0,2.0,2.0,2.0,2.0,NA,NA,NA,NA,NA,2.0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (even),1952 - 1960,CQ,4.0,NA,NA,NA,NA,NA,NA,2.0,1.5,2.0,1.5,2.0,NA,NA,NA,NA,NA,1.0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (even),1952 - 1960,RQ,3.3,NA,NA,NA,NA,NA,NA,2.8,2.6,2.8,2.6,2.8,NA,NA,NA,NA,NA,2.5,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (even),1962 - 1970,SQ,2.0,NA,NA,NA,NA,NA,NA,2.0,2.0,2.0,2.0,2.0,NA,NA,NA,NA,NA,2.0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (even),1962 - 1970,CQ,4.0,NA,NA,NA,NA,NA,NA,2.0,1.5,2.0,1.5,2.0,NA,NA,NA,NA,NA,1.0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (even),1962 - 1970,RQ,3.3,NA,NA,NA,NA,NA,NA,2.8,2.6,2.8,2.6,2.8,NA,NA,NA,NA,NA,2.5,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (even),1972 - 1980,SQ,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
