Species,Decade,DataQualityType,Anderson/Seton_Early Summer,Bowron_Early Summer,Chilko_Early Summer & Chilko_Summer,Cultus_Late,Francois/Fraser_Summer,Harrison River,Harrison-upstream migrating_Late,Kamloops_Early Summer,Lillooet/Harrison_Late,Nadina-Francois-ES,North Barriere_Early Summer<<Bin>>,Pitt_Early Summer,Quesnel_Summer,Seton_Late<<Bin>>,Shuswap Complex_Late,Shuswap_Early Summer,Takla/Trembleur/Stuart_Summer,Takla/Trembleur_Early Stuart,Osoyoos,Great Central,Sproat,PFMA 1,Awun,Marian/Eden,Yakoun,PFMA 2E,Mathers,Skidegate,PFMA 2W,Mercer,PFMA 3,Damdochax,Fred Wright,Lower Nass - Portland,Meziadin,PFMA 4,Alastair,Azuklotz,Bear,Damshilgwit,Johnston,Kitsumkalum,Kitwancool,Lakelse,Mcdonell,Morice,Motase,Prudhomme,Shawatlan,Stephens,Swan,Tahlo/Morrison,Babine-Early-Wild,Babine-Fulton,Babine-Late-Wild,Babine-Mid-Wild,Babine-Pinkut,PFMA 5,Curtis Inlet,Devon,Freeda,Keecha,Kooryet,Lowe/Simpson/Weare,Mikado,Tsimtack/Moore/Roger,PFMA 6,Bloomfield,Canoona,Evelyn,Hartley Bay,Kitlope,Kwakwa Creek,PFMA 7,Kadjusdis River,Kainet Creek,Mary Cove Creek,Roderick,Tankeeah River,PFMA 8,Koeye,Namu,Port John,Northern Coastal Fjords,PFMA 9,Owikeno,PFMA 10,Long
Pink (even),1972 - 1980,CQ,4.0,2.0,1.5,2.0,1.5,2.0,1.5,2.0,1.5,2.0,1.5,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (even),1972 - 1980,RQ,3.3,2.8,2.6,2.8,2.6,2.8,2.6,2.8,2.6,2.8,2.6,2.8,2.8,2.8,2.8,2.8,2.3,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (even),1982 - 1990,SQ,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (even),1982 - 1990,CQ,4.0,2.0,1.5,2.0,1.5,2.0,1.5,2.0,1.5,2.0,1.5,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (even),1982 - 1990,RQ,3.3,2.8,2.6,2.8,2.6,2.8,2.6,2.8,2.6,2.8,2.6,2.8,2.8,2.8,2.8,2.8,2.3,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (even),1992 - 2000,SQ,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (even),1992 - 2000,CQ,4.0,2.0,1.5,2.0,1.5,2.0,1.5,2.0,1.5,2.0,1.5,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (even),1992 - 2000,RQ,3.3,2.8,2.6,2.8,2.6,2.8,2.6,2.8,2.6,2.8,2.6,2.8,2.8,2.8,2.8,2.8,2.3,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (even),2002 - 2010,SQ,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9,2.0,2.0,2.0,2.0,2.0,NA,NA,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (even),2002 - 2010,CQ,4.0,2.0,1.5,2.0,1.5,2.0,1.5,2.0,1.5,2.0,1.5,2.0,2.0,2.0,2.0,NA,NA,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (even),2002 - 2010,RQ,3.3,2.8,2.6,2.8,2.6,2.8,2.6,2.8,2.6,2.7,2.6,2.8,2.8,2.8,2.8,NA,NA,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Decade,DataQualityType,ISC Aggregate,Fraser pink (1957-1991),Fraser pink (1993-2001),Fraser pink (2003-2007),Fraser pink (2009-2013),IFMP 2E,East Haida Gwaii,IFMP 3,Middle - Upper Skeena,IFMP 4,Lower Skeena,Nass-Portland-Observatory,Nass-Skeena Estuary,IFMP 5,IFMP 6,IFMP 7,IFMP 8,IFMP 9,IFMP 10,Hecate Strait-Fjords (IFMPs 5-10),Hecate Strait-Lowlands (IFMPs 6-8),Homathko-Klinaklini-Smith-Rivers-Bella Coola-Dean (IFMPs 8-10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (odd),1952 - 1960,SQ,2.0,4.0,NA,NA,NA,NA,NA,2.0,2.0,2.0,1.6,2.0,2.0,2.0,NA,NA,NA,NA,NA,NA,2.0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (odd),1952 - 1960,CQ,2.0,2.0,NA,NA,NA,NA,NA,2.0,1.5,2.0,1.0,1.0,1.0,2.0,NA,NA,NA,NA,NA,NA,1.0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (odd),1952 - 1960,RQ,2.8,3.8,NA,NA,NA,NA,NA,2.8,2.6,2.8,2.3,2.5,2.5,2.8,NA,NA,NA,NA,NA,NA,2.5,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (odd),1962 - 1970,SQ,2.0,4.0,NA,NA,NA,NA,NA,2.0,2.0,2.0,1.6,2.0,2.0,2.0,NA,NA,NA,NA,NA,NA,2.0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (odd),1962 - 1970,CQ,2.0,2.0,NA,NA,NA,NA,NA,2.0,1.5,2.0,1.0,1.0,1.0,2.0,NA,NA,NA,NA,NA,NA,1.0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (odd),1962 - 1970,RQ,2.8,3.8,NA,NA,NA,NA,NA,2.8,2.6,2.8,2.3,2.5,2.5,2.8,NA,NA,NA,NA,NA,NA,2.5,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (odd),1972 - 1980,SQ,2.0,4.0,NA,NA,NA,NA,NA,2.0,2.0,2.0,1.6,2.0,2.0,2.0,NA,NA,NA,NA,NA,NA,2.0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (odd),1972 - 1980,CQ,2.0,2.0,NA,NA,NA,NA,NA,2.0,1.5,2.0,1.0,1.0,1.0,2.0,NA,NA,NA,NA,NA,NA,1.0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (odd),1972 - 1980,RQ,2.8,3.8,N A,NA,NA,NA,NA,2.8,2.6,2.8,2.3,2.5,2.5,2.8,NA,NA,NA,NA,NA,NA,2.5,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (odd),1982 - 1990,SQ,2.0,4.0,NA,NA,NA,2.0,2.0,2.0,2.0,2.0,1.6,2.0,2.0,2.0,2.0,2.0,2.0,1.8,1.0,2.0,2.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (odd),1982 - 1990,CQ,2.4,2.4,NA,NA,NA,2.0,1.5,2.0,1.5,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (odd),1982 - 1990,RQ,2.9,3.9,NA,NA,NA,2.8,2.6,2.8,2.6,2.8,2.3,2.5,2.5,2.8,2.8,2.8,2.8,2.7,2.3,2.5,2.5,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (odd),1992 - 2000,SQ,2.0,NA,3.0,NA,NA,2.0,2.0,2.0,2.0,2.0,1.6,2.0,2.0,2.0,2.0,2.0,2.0,1.8,1.0,2.0,2.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (odd),1992 - 2000,CQ,3.0,NA,3.0,NA,NA,2.0,1.5,2.0,1.5,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (odd),1992 - 2000,RQ,3.0,NA,3.5,NA,NA,2.8,2.6,2.8,2.6,2.8,2.3,2.5,2.5,2.8,2.8,2.8,2.8,2.7,2.3,2.5,2.5,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (odd),2002 - 2010,SQ,2.0,NA,NA,2.0,NA,1.8,1.8,2.0,2.0,2.0,1.6,2.0,2.0,2.0,2.0,2.0,2.0,1.8,1.0,2.0,2.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (odd),2002 - 2010,CQ,3.0,NA,NA,3.0,NA,2.0,1.5,2.0,1.5,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (odd),2002 - 2010,RQ,3.0,NA,NA,3.0,NA,2.7,2.5,2.8,2.6,2.8,2.3,2.5,2.5,2.8,2.8,2.8,2.8,2.7,2.3,2.5,2.5,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (odd),2011 - 2019,SQ,NA,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (odd),2011 - 2019,CQ,NA,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (odd),2011 - 2019,RQ,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Decade,DataQualityType,PFMA 1,North Haida Gwaii,Stanley Creek,PFMA 2E,East HG,Skidegate,PFMA 2W,West Haida Gwaii,PFMA 3,Portland Canal-Observatory,Portland Inlet,PFMA 4,Lower Skeena,Middle Skeena,Skeena Estuary,PFMA 5,PFMA 6,Douglas-Gardner,PFMA 7,Mussel-Kynock,Hecate Lowlands,PFMA 8,Bella Colla-Dean Rivers,Bella Coola River_late,PFMA 9,Rivers Inlet,Spiller-Fitz-Hugh-Burke (PFMAs 7-9),PFMA 10,Smith Inlet (PFMAs 9-10),ISC Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chum,1951 - 1960,SQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,1.5,1.8,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chum,1951 - 1960,CQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,1.0,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chum,1951 - 1960,AQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,2.0,2.0,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chum,1951 - 1960,RQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,1.5,1.6,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chum,1961 - 1970,SQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.7,1.4,1.8,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chum,1961 - 1970,CQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,1.0,1.0,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chum,1961 - 1970,AQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,2.0,2.0,2.0,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chum,1961 - 1970,RQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.6,1.4,1.6,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chum,1971 - 1980,SQ,2.3,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.7,1.7,1.5,NA,1.8,2.1,2.0,2.0,1.9,1.9,2.5,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chum,1971 - 1980,CQ,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.5,2.0,1.0,1.0,2.0,1.0,1.0,NA,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chum,1971 - 1980,AQ,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,NA,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chum,1971 - 1980,RQ,2.1,1.8,2.3,2.0,1.8,1.8,2.0,1.9,2.0,1.8,1.8,1.8,1.6,1.5,NA,1.9,2.1,1.8,2.0,1.7,1.7,2.2,1.8,2.3,2.0,1.8,1.8,2.0,1.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chum,1981 - 1990,SQ,2.3,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.7,1.7,0.9,NA,1.8,2.1,2.0,2.0,1.9,1.9,2.5,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chum,1981 - 1990,CQ,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.5,2.0,1.0,1.0,2.0,1.0,1.0,NA,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chum,1981 - 1990,AQ,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,NA,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chum,1981 - 1990,RQ,2.1,1.8,2.3,2.0,1.8,1.8,2.0,1.9,2.0,1.8,1.8,1.8,1.6,1.2,NA,1.9,2.1,1.8,2.0,1.7,1.7,2.2,1.8,2.3,2.0,1.8,1.8,2.0,1.8,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chum,1991 - 2000,SQ,2.3,2.0,NA,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.4,1.5,NA,1.8,2.1,1.9,2.0,1.9,1.9,2.5,2.0,3.0,2.0,1.9,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chum,1991 - 2000,CQ,2.0,1.0,NA,2.0,1.0,1.0,2.0,1.5,2.0,1.0,1.0,2.0,1.0,1.0,NA,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chum,1991 - 2000,AQ,2.0,2.0,NA,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,NA,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chum,1991 - 2000,RQ,2.1,1.8,NA,2.0,1.8,1.8,2.0,1.9,2.0,1.8,1.8,1.8,1.5,1.5,NA,1.9,2.1,1.7,2.0,1.7,1.7,2.2,1.8,2.3,2.0,1.7,1.8,2.0,1.8,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chum,2001 - 2010,SQ,2.3,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.2,NA,NA,NA,1.8,2.1,1.0,2.0,1.9,1.9,2.5,2.0,3.0,2.0,2.0,2.0,1.7,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chum,2001 - 2010,CQ,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.5,2.0,1.0,1.0,2.0,NA,NA,NA,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chum,2001 - 2010,AQ,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,NA,NA,NA,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chum,2001 - 2010,RQ,2.1,1.8,2.3,2.0,1.8,1.8,2.0,1.9,2.0,1.8,1.8,1.6,NA,NA,NA,1.9,2.1,1.3,2.0,1.7,1.7,2.2,1.8,2.3,2.0,1.8,1.8,1.9,1.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
