"system","broodYr","spawn","rec","rps","rec_part","rps_part"
"Igushik",1963,92184,368205.122066703,3.99424110547061,368205.122066702,3.9942411054706
"Igushik",1964,128532,583059.500180181,4.5362983551192,583059.500180181,4.5362983551192
"Igushik",1965,180840,810919.527577424,4.48418230246308,810919.527577423,4.48418230246308
"Igushik",1966,206360,301093.430575705,1.45906876611604,301093.430575705,1.45906876611603
"Igushik",1967,281772,125744.849381645,0.446264530832179,125744.849381645,0.44626453083218
"Igushik",1968,194508,158922.719262924,0.817049783365845,158922.719262923,0.817049783365843
"Igushik",1969,512328,476722.22685709,0.930501996488753,476722.226857089,0.930501996488752
"Igushik",1970,370920,287435.695091682,0.77492638599073,287435.695091681,0.774926385990729
"Igushik",1971,210960,259415.093327239,1.22968853492245,259415.093327239,1.22968853492245
"Igushik",1972,60018,232049.467502464,3.86633122567336,232049.467502463,3.86633122567335
"Igushik",1973,59508,451999.766575413,7.59561347340547,451999.766575412,7.59561347340547
"Igushik",1974,358752,1267129.88809994,3.5320496836253,1267129.88809994,3.5320496836253
"Igushik",1975,241086,2810903.3498592,11.6593387830865,2810903.34985921,11.6593387830866
"Igushik",1976,186120,1354666.65250916,7.27845826622156,1354666.65250916,7.27845826622156
"Igushik",1977,95970,830426.157793119,8.65297653217797,830426.157793119,8.65297653217796
"Igushik",1978,536154,562274.921633802,1.04871906510779,562274.921633802,1.04871906510779
"Igushik",1979,859560,896475.79562251,1.04294731679291,896475.79562251,1.04294731679291
"Igushik",1980,1987530,443803.166703739,0.223293820321574,443803.166703739,0.223293820321574
"Igushik",1981,591144,838645.24558437,1.41868181963171,838645.245584371,1.41868181963172
"Igushik",1982,423768,346608.038627578,0.817919329981448,346608.038627578,0.817919329981447
"Igushik",1983,180438,391104.402289343,2.16752791700941,391104.402289343,2.16752791700941
"Igushik",1984,184872,522953.388363787,2.8287322491442,522953.388363787,2.82873224914421
"Igushik",1985,212454,1138950.75445401,5.36092873965192,1138950.75445401,5.36092873965191
"Igushik",1986,307728,1700596.58768832,5.52629785943536,1700596.58768833,5.52629785943537
"Igushik",1987,169236,445514.670168539,2.63250531901332,445514.670168539,2.63250531901332
"Igushik",1988,170454,614897.817730306,3.6074120744031,614897.817730305,3.60741207440309
"Igushik",1989,461610,991783.682547156,2.14853162311725,991783.682547156,2.14853162311725
"Igushik",1990,365802,1229497.5528373,3.3611012319159,1229497.5528373,3.3611012319159
"Igushik",1991,756126,983938.792614967,1.30128945786148,983938.792614967,1.30128945786148
"Igushik",1992,304920,139561.23869275,0.457697883683425,139561.23869275,0.457697883683426
"Igushik",1993,405564,358174.418815424,0.883151410912764,358174.418815425,0.883151410912765
"Igushik",1994,445920,659952.734045033,1.47998011761086,659952.734045033,1.47998011761086
"Igushik",1995,473382,1278256.1538545,2.70026353738523,1278256.1538545,2.70026353738523
"Igushik",1996,400746,886426.236814742,2.21194032333384,886426.236814743,2.21194032333384
"Igushik",1997,127704,99344.9440826979,0.777931341874161,99344.9440826979,0.777931341874161
"Igushik",1998,215904,536354.15445129,2.48422518550509,536354.15445129,2.48422518550509
"Igushik",1999,445536,362489.537656429,0.81360325014461,362489.537656429,0.81360325014461
"Igushik",2000,413316,767785.541536907,1.85762356535171,767785.541536906,1.85762356535171
"Igushik",2001,409596,490103.450737403,1.19655331286781,490103.450737403,1.19655331286781
"Igushik",2002,123156,495205.008265333,4.02095722713739,495205.008265333,4.0209572271374
"Igushik",2003,194088,2088078.26468313,10.7584099206707,2088078.26468314,10.7584099206707
"Igushik",2004,109650,1835420.36195103,16.7388997897951,1835420.36195104,16.7388997897951
"Igushik",2005,365712,1579838.18055274,4.31989702430531,1579838.18055275,4.31989702430532
"Igushik",2006,305268,1005266.37207463,3.29306174271337,1005266.37207462,3.29306174271337
"Igushik",2007,415452,608981.017564519,1.46582762284095,608981.017564519,1.46582762284095
"Igushik",2008,1054704,663845.719776258,0.629414243025776,663845.719776258,0.629414243025776
"Igushik",2009,514188,942097.300893027,1.83220398160406,942097.300893027,1.83220398160406
"Igushik",2010,518040,1714570.3625076,3.3097258175191,1714570.3625076,3.3097258175191
"Igushik",2011,421380,1985101.22735734,4.71095264928886,1985101.22735734,4.71095264928886
"Igushik",2012,193326,686078.805641823,3.54881808779897,686078.805641823,3.54881808779897
"Igushik",2013,387036,2092761.88724356,5.40715046466883,2092761.88724356,5.40715046466883
"Igushik",2014,340590,1857204.27504585,5.45290312412534,1857204.27504585,5.45290312412535
"Igushik",2015,651172,NA,NA,953949.534800715,1.46497320953714
"Igushik",2016,469230,NA,NA,1510501.30692945,3.21910642313886
"Wood",1963,721404,1632835.6902013,2.26341369080474,1632835.6902013,2.26341369080474
"Wood",1964,1076112,1286902.77710073,1.19588182001569,1286902.77710073,1.19588182001569
"Wood",1965,675156,2021718.74284877,2.99444682836081,2021718.74284877,2.99444682836081
"Wood",1966,1208682,2290779.78677707,1.89527087089663,2290779.78677707,1.89527087089662
"Wood",1967,515772,1054263.50231463,2.04404950698104,1054263.50231463,2.04404950698104
"Wood",1968,649344,1154367.15414343,1.77774362147556,1154367.15414343,1.77774362147556
"Wood",1969,604338,989847.971165265,1.63790456857796,989847.971165265,1.63790456857796
"Wood",1970,1161964,2648101.6347012,2.2789876749204,2648101.63470121,2.2789876749204
"Wood",1971,851202,1425140.3788766,1.67426812774946,1425140.3788766,1.67426812774946
"Wood",1972,430602,1338679.25329861,3.10885516857472,1338679.25329861,3.10885516857472
"Wood",1973,330474,1460260.48499533,4.41868493435285,1460260.48499532,4.41868493435285
"Wood",1974,1708836,5893430.30998299,3.44879807657551,5893430.30998299,3.44879807657551
"Wood",1975,1270116,6290687.41151378,4.95284478859709,6290687.41151378,4.95284478859709
"Wood",1976,817008,6590536.14741133,8.06667272219039,6590536.14741133,8.0666727221904
"Wood",1977,561828,3824312.59826252,6.80690994087606,3824312.59826252,6.80690994087606
"Wood",1978,2267238,3117206.8107266,1.37489174525418,3117206.8107266,1.37489174525418
"Wood",1979,1706352,4154668.58018577,2.43482504206973,4154668.58018577,2.43482504206973
"Wood",1980,2969040,1471792.11761562,0.495713132061415,1471792.11761562,0.495713132061415
"Wood",1981,1233318,2231913.48074671,1.80968207773397,2231913.48074671,1.80968207773397
"Wood",1982,976470,2085370.56802225,2.13562174774673,2085370.56802225,2.13562174774673
"Wood",1983,1360968,3326753.3865653,2.44440235667943,3326753.38656529,2.44440235667943
"Wood",1984,1002792,2218822.19159381,2.2126444881828,2218822.19159381,2.2126444881828
"Wood",1985,939000,3304166.65396049,3.51881432796645,3304166.65396049,3.51881432796644
"Wood",1986,818652,4176304.8377082,5.10144095135442,4176304.83770819,5.10144095135441
"Wood",1987,1337172,2897914.16179317,2.16719626330283,2897914.16179317,2.16719626330283
"Wood",1988,866778,3978870.05699389,4.59041422024312,3978870.05699389,4.59041422024312
"Wood",1989,1186410,5106290.77222029,4.30398493962483,5106290.77222029,4.30398493962483
"Wood",1990,1069440,3555677.99017163,3.32480362635737,3555677.99017163,3.32480362635738
"Wood",1991,1159920,6110265.16020268,5.26783326453779,6110265.16020267,5.26783326453779
"Wood",1992,1286250,4539122.83785081,3.52895847451958,4539122.83785082,3.52895847451958
"Wood",1993,1176126,3267338.95541326,2.77805180347451,3267338.95541326,2.77805180347451
"Wood",1994,1471890,5887327.87008044,3.99984229125848,5887327.87008044,3.99984229125848
"Wood",1995,1482162,7844735.66396403,5.29276534141614,7844735.66396403,5.29276534141614
"Wood",1996,1649598,7529945.0305222,4.56471517940868,7529945.0305222,4.56471517940868
"Wood",1997,1512396,1237316.77341795,0.818116930630566,1237316.77341794,0.818116930630566
"Wood",1998,1755768,6866962.90956072,3.91108785987711,6866962.90956072,3.91108785987711
"Wood",1999,1512426,5621105.32849994,3.71661511273936,5621105.32849994,3.71661511273936
"Wood",2000,1300026,7238919.45182733,5.56828821256446,7238919.45182733,5.56828821256446
"Wood",2001,1458732,8311690.33283843,5.69788716010784,8311690.33283843,5.69788716010784
"Wood",2002,1283682,8408982.38654234,6.55067406611788,8408982.38654233,6.55067406611788
"Wood",2003,1459782,8340090.11853488,5.71324356550148,8340090.11853488,5.71324356550148
"Wood",2004,1543392,8066084.29938961,5.22620585009486,8066084.29938961,5.22620585009486
"Wood",2005,1496550,6718864.0989698,4.48956874075026,6718864.0989698,4.48956874075026
"Wood",2006,4008102,8034985.37370308,2.00468585223207,8034985.37370308,2.00468585223207
"Wood",2007,1528086,2826070.95195782,1.84941878399372,2826070.95195782,1.84941878399371
"Wood",2008,1724676,3221128.96035362,1.86767193394795,3221128.96035362,1.86767193394795
"Wood",2009,1319232,3721140.49423596,2.82068695592281,3721140.49423596,2.82068695592281
"Wood",2010,1804344,7127173.36560695,3.95000807252217,7127173.36560695,3.95000807252217
"Wood",2011,1098006,5649575.89971229,5.14530512557517,5649575.89971229,5.14530512557517
"Wood",2012,764211,4655414.54000071,6.09179210977166,4655414.54000071,6.09179210977166
"Wood",2013,1183348,12363437.5231467,10.4478458772455,12363437.5231467,10.4478458772455
"Wood",2014,2764614,24560850.0151954,8.8840069590892,24560850.0151954,8.8840069590892
"Wood",2015,1941474,NA,NA,10377011.7085838,5.34491407486465
"Wood",2016,1309707,NA,NA,7451931.18568957,5.68976968565455
"Nushagak",1963,234820.8018,214840.580156722,0.914912897451497,214840.580156721,0.914912897451495
"Nushagak",1964,134852.6266,93342.3462088272,0.692180408808049,93342.3462088272,0.69218040880805
"Nushagak",1965,255793.5021,779753.691718512,3.0483717737821,779753.691718512,3.0483717737821
"Nushagak",1966,233577.6147,701565.678678565,3.0035655581963,701565.678678565,3.0035655581963
"Nushagak",1967,74002.81765,227033.084647458,3.0678978430419,227033.084647458,3.0678978430419
"Nushagak",1968,142360.4153,344179.471621545,2.41766273929622,344179.471621545,2.41766273929622
"Nushagak",1969,95805.0467,493692.39056527,5.15309378337028,493692.39056527,5.15309378337028
"Nushagak",1970,452891.7581,988763.627680121,2.18322283414528,988763.62768012,2.18322283414528
"Nushagak",1971,312699.1781,1010998.91204097,3.23313581501533,1010998.91204097,3.23313581501533
"Nushagak",1972,39850.56376,1147979.90927231,28.8071184183495,1147979.90927231,28.8071184183496
"Nushagak",1973,210600.7728,1380189.1844859,6.55358081613791,1380189.1844859,6.55358081613791
"Nushagak",1974,204190.1742,383622.793221916,1.87875246556265,383622.793221917,1.87875246556265
"Nushagak",1975,832092.6013,5995148.83355701,7.20490582921977,5995148.83355701,7.20490582921976
"Nushagak",1976,520302.5868,4351923.97327764,8.36421744516615,4351923.97327764,8.36421744516615
"Nushagak",1977,611588.3606,3236088.56608596,5.2912854046326,3236088.56608595,5.29128540463259
"Nushagak",1978,734040.0845,1513724.71081875,2.0621826284185,1513724.71081875,2.0621826284185
"Nushagak",1979,551271.6622,1846152.62336911,3.34889810225603,1846152.62336911,3.34889810225603
"Nushagak",1980,3669136.414,1210265.69876664,0.329850286881878,1210265.69876664,0.329850286881878
"Nushagak",1981,1118872.875,1976756.70465016,1.76673932206119,1976756.70465016,1.76673932206119
"Nushagak",1982,664579.7666,1335148.49953981,2.00901165915786,1335148.49953981,2.00901165915786
"Nushagak",1983,446845.0461,1548737.91695801,3.46593954766909,1548737.91695801,3.46593954766909
"Nushagak",1984,655739.2017,761247.350911451,1.16089956027933,761247.35091145,1.16089956027933
"Nushagak",1985,551319.2218,1416869.92612331,2.56996286379673,1416869.92612331,2.56996286379672
"Nushagak",1986,1095241.259,2092573.596844,1.91060515630557,2092573.596844,1.91060515630557
"Nushagak",1987,429181.6128,1905456.27363564,4.43974349507744,1905456.27363564,4.43974349507744
"Nushagak",1988,534459.8784,2557338.62371741,4.78490290304533,2557338.62371741,4.78490290304533
"Nushagak",1989,567863.3443,1398722.07011078,2.46313146314273,1398722.07011078,2.46313146314273
"Nushagak",1990,752513.138,1189247.18707263,1.58036734113821,1189247.18707263,1.58036734113821
"Nushagak",1991,544748.2476,1491481.64646501,2.73792830548062,1491481.64646501,2.73792830548063
"Nushagak",1992,768816.1441,1212574.09799274,1.57719645626357,1212574.09799274,1.57719645626357
"Nushagak",1993,790926.9579,1074278.18641409,1.35825208090823,1074278.18641409,1.35825208090823
"Nushagak",1994,563334.117,425915.19395213,0.75606142269585,425915.19395213,0.75606142269585
"Nushagak",1995,311136.3458,1198477.04716394,3.85193521535515,1198477.04716394,3.85193521535515
"Nushagak",1996,557057.3491,2335512.43443613,4.19258885680166,2335512.43443613,4.19258885680165
"Nushagak",1997,412591.0367,544301.913197689,1.31922864236495,544301.913197689,1.31922864236495
"Nushagak",1998,507532.2674,2665498.34234811,5.25187956226507,2665498.34234812,5.25187956226508
"Nushagak",1999,344972.2727,1753729.55169898,5.08368263331147,1753729.55169898,5.08368263331147
"Nushagak",2000,446286.4967,3938657.2506902,8.82540090236659,3938657.2506902,8.82540090236659
"Nushagak",2001,897112.175,2662843.49877395,2.96823917117606,2662843.49877395,2.96823917117606
"Nushagak",2002,349155.3099,2083235.29934885,5.96650040907441,2083235.29934885,5.9665004090744
"Nushagak",2003,642092.8998,2197158.50268368,3.42187011158051,2197158.50268368,3.42187011158051
"Nushagak",2004,543872.2652,1836175.66719041,3.37611565192644,1836175.6671904,3.37611565192643
"Nushagak",2005,1106703,1418241.40306321,1.28150136311477,1418241.40306321,1.28150136311477
"Nushagak",2006,548410,1237592.93343714,2.25669286380107,1237592.93343714,2.25669286380107
"Nushagak",2007,518041,912135.897857768,1.76074074804459,912135.897857768,1.76074074804459
"Nushagak",2008,492546,2169869.77853651,4.40541549121607,2169869.77853651,4.40541549121608
"Nushagak",2009,484149,1285173.29751099,2.6544995394207,1285173.297511,2.65449953942071
"Nushagak",2010,468696,2452553.90817582,5.2327178132005,2452553.90817582,5.23271781320049
"Nushagak",2011,428191,2428916.72887771,5.67250766335049,2428916.72887771,5.6725076633505
"Nushagak",2012,432438,5114328.84489558,11.8267331846313,5114328.84489558,11.8267331846313
"Nushagak",2013,894148,11990241.5824528,13.4096833884914,11990241.5824528,13.4096833884914
"Nushagak",2014,618477,4879284.1397423,7.88919254837658,4879284.1397423,7.88919254837657
"Nushagak",2015,796684,NA,NA,2469476.27043173,3.09969356787852
"Nushagak",2016,680512,NA,NA,8317840.81184277,12.2229157044149
"Kvichak",1963,338760,1388215.8615307,4.09793323158196,1388215.8615307,4.09793323158196
"Kvichak",1964,957120,5763514.8080947,6.02172643774522,5763514.8080947,6.02172643774522
"Kvichak",1965,24325926,45820688.6640769,1.88361539306158,45820688.6640769,1.88361539306158
"Kvichak",1966,3755185,6522061.73832304,1.73681502730839,6522061.73832305,1.73681502730839
"Kvichak",1967,3216208,1784047.97041946,0.554705407865244,1784047.97041946,0.554705407865244
"Kvichak",1968,2557440,635324.088074931,0.248421893798068,635324.088074932,0.248421893798068
"Kvichak",1969,8394204,5513626.38010613,0.656837310614102,5513626.38010613,0.656837310614101
"Kvichak",1970,13935306,15363871.7609629,1.1025141292888,15363871.7609629,1.10251412928879
"Kvichak",1971,2387392,2036285.1271136,0.852932877011233,2036285.1271136,0.852932877011233
"Kvichak",1972,1009962,3248671.17710916,3.21662713756474,3248671.17710916,3.21662713756474
"Kvichak",1973,226554,2203241.2006251,9.72501567231255,2203241.2006251,9.72501567231254
"Kvichak",1974,4433844,25784407.2986557,5.81536186177404,25784407.2986556,5.81536186177404
"Kvichak",1975,13140450,37439011.0672555,2.8491422338851,37439011.0672555,2.8491422338851
"Kvichak",1976,1965282,10716322.9886967,5.45281694367357,10716322.9886967,5.45281694367357
"Kvichak",1977,1341144,3089502.38449202,2.30363211146008,3089502.38449202,2.30363211146008
"Kvichak",1978,4149288,5055228.08373439,1.21833627449683,5055228.0837344,1.21833627449683
"Kvichak",1979,11218434,43049769.8480922,3.83741347928705,43049769.8480922,3.83741347928705
"Kvichak",1980,22505268,12597312.7292474,0.559749509725787,12597312.7292474,0.559749509725787
"Kvichak",1981,1754358,2048788.63260511,1.1678281357654,2048788.63260511,1.1678281357654
"Kvichak",1982,1134840,1509245.58098918,1.32991926702371,1509245.58098918,1.32991926702371
"Kvichak",1983,3569982,13775450.62316,3.85868909791703,13775450.62316,3.85868909791703
"Kvichak",1984,10490670,23287184.5352621,2.21979954905284,23287184.5352621,2.21979954905284
"Kvichak",1985,7211046,18314832.7805685,2.53983025216709,18314832.7805684,2.53983025216708
"Kvichak",1986,1179322,4114460.4282415,3.48883547346823,4114460.4282415,3.48883547346823
"Kvichak",1987,6065880,11648130.4746772,1.92027050892486,11648130.4746772,1.92027050892487
"Kvichak",1988,4065216,9205714.46945707,2.264508077666,9205714.46945708,2.264508077666
"Kvichak",1989,8317500,24800932.6626244,2.98177729637805,24800932.6626244,2.98177729637805
"Kvichak",1990,6970020,26298686.4105977,3.77311491367281,26298686.4105977,3.77311491367281
"Kvichak",1991,4222788,4637249.70429568,1.09814883065304,4637249.70429569,1.09814883065304
"Kvichak",1992,4725864,1875602.78395769,0.39688039773419,1875602.78395769,0.39688039773419
"Kvichak",1993,4025166,3130469.75931631,0.777724386849217,3130469.75931631,0.777724386849216
"Kvichak",1994,8355936,7303050.48547676,0.873995502775124,7303050.48547677,0.873995502775125
"Kvichak",1995,10038720,10636781.6749224,1.05957549119035,10636781.6749224,1.05957549119035
"Kvichak",1996,1450578,2260607.40185694,1.55841836968225,2260607.40185694,1.55841836968225
"Kvichak",1997,1503732,816242.338515819,0.542811045130262,816242.338515818,0.542811045130261
"Kvichak",1998,2296074,1254499.87518232,0.546367353657731,1254499.87518232,0.546367353657732
"Kvichak",1999,6196914,7378835.08985576,1.19072736685643,7378835.08985576,1.19072736685643
"Kvichak",2000,1827780,4261674.61365731,2.33161245535968,4261674.61365731,2.33161245535968
"Kvichak",2001,1095348,4421264.70312135,4.03640185869819,4421264.70312134,4.03640185869819
"Kvichak",2002,703884,3881254.32024729,5.51405390696093,3881254.32024729,5.51405390696093
"Kvichak",2003,1686804,4966630.40593384,2.944402791275,4966630.40593384,2.944402791275
"Kvichak",2004,5500134,10919651.8599869,1.98534287709842,10919651.8599869,1.98534287709842
"Kvichak",2005,2320332,9582841.03324071,4.12994391890502,9582841.03324071,4.12994391890502
"Kvichak",2006,3068226,8319504.73422911,2.71150323810212,8319504.73422912,2.71150323810212
"Kvichak",2007,2810208,12799401.5149582,4.55461001995519,12799401.5149582,4.55461001995519
"Kvichak",2008,2757912,6579393.17391397,2.3856428972041,6579393.17391397,2.38564289720411
"Kvichak",2009,2266140,12895286.8367557,5.69041931952825,12895286.8367557,5.69041931952825
"Kvichak",2010,4207410,25777817.7814449,6.126766295998,25777817.781445,6.126766295998
"Kvichak",2011,2264352,8130508.4097687,3.59065569742191,8130508.40976871,3.59065569742192
"Kvichak",2012,4164444,11800940.266068,2.83373729267772,11800940.266068,2.83373729267772
"Kvichak",2013,2088576,6591646.78241345,3.1560483230744,6591646.78241345,3.15604832307441
"Kvichak",2014,4458540,6661126.07707053,1.49401509845611,6661126.07707052,1.49401509845611
