cu_name,adult_return_year,total_returns,total_escape,recruit_abundance,f_age,o_age,total_age,brood_year
Great Central Lake,1977,1006504,209810.3604,18705,1,1,3,1974
Great Central Lake,1977,1006504,209810.3604,481562,1,2,4,1973
Great Central Lake,1977,1006504,209810.3604,4496,2,1,4,1973
Great Central Lake,1977,1006504,209810.3604,363952,1,3,5,1972
Great Central Lake,1977,1006504,209810.3604,97639,2,2,5,1972
Great Central Lake,1977,1006504,209810.3604,NA,1,4,6,1971
Great Central Lake,1977,1006504,209810.3604,40150,2,3,6,1971
Great Central Lake,1977,1006504,209810.3604,NA,0,2,3,1974
Great Central Lake,1977,1006504,209810.3604,NA,0,3,4,1973
Great Central Lake,1977,1006504,209810.3604,NA,3,1,5,1972
Great Central Lake,1977,1006504,209810.3604,NA,3,2,6,1971
Great Central Lake,1977,1006504,209810.3604,NA,4,1,6,1971
Great Central Lake,1977,1006504,209810.3604,NA,1,5,7,1970
Great Central Lake,1977,1006504,209810.3604,NA,2,4,7,1970
Great Central Lake,1977,1006504,209810.3604,NA,3,3,7,1970
Great Central Lake,1977,1006504,209810.3604,NA,4,2,7,1970
Great Central Lake,1977,1006504,209810.3604,NA,4,3,8,1969
Great Central Lake,1977,1006504,209810.3604,NA,0,1,2,1975
Great Central Lake,1978,259931,84373.10195,32646,1,1,3,1975
Great Central Lake,1978,259931,84373.10195,63793,1,2,4,1974
Great Central Lake,1978,259931,84373.10195,2739,2,1,4,1974
Great Central Lake,1978,259931,84373.10195,112271,1,3,5,1973
Great Central Lake,1978,259931,84373.10195,35755,2,2,5,1973
Great Central Lake,1978,259931,84373.10195,NA,1,4,6,1972
Great Central Lake,1978,259931,84373.10195,12727,2,3,6,1972
Great Central Lake,1978,259931,84373.10195,NA,0,2,3,1975
Great Central Lake,1978,259931,84373.10195,NA,0,3,4,1974
Great Central Lake,1978,259931,84373.10195,NA,3,1,5,1973
Great Central Lake,1978,259931,84373.10195,NA,3,2,6,1972
Great Central Lake,1978,259931,84373.10195,NA,4,1,6,1972
Great Central Lake,1978,259931,84373.10195,NA,1,5,7,1971
Great Central Lake,1978,259931,84373.10195,NA,2,4,7,1971
Great Central Lake,1978,259931,84373.10195,NA,3,3,7,1971
Great Central Lake,1978,259931,84373.10195,NA,4,2,7,1971
Great Central Lake,1978,259931,84373.10195,NA,4,3,8,1970
Great Central Lake,1978,259931,84373.10195,NA,0,1,2,1976
Great Central Lake,1979,804958,247475.4573,28765,1,1,3,1976
Great Central Lake,1979,804958,247475.4573,457127,1,2,4,1975
Great Central Lake,1979,804958,247475.4573,3841,2,1,4,1975
Great Central Lake,1979,804958,247475.4573,226783,1,3,5,1974
Great Central Lake,1979,804958,247475.4573,57683,2,2,5,1974
Great Central Lake,1979,804958,247475.4573,NA,1,4,6,1973
Great Central Lake,1979,804958,247475.4573,30759,2,3,6,1973
Great Central Lake,1979,804958,247475.4573,NA,0,2,3,1976
Great Central Lake,1979,804958,247475.4573,NA,0,3,4,1975
Great Central Lake,1979,804958,247475.4573,NA,3,1,5,1974
Great Central Lake,1979,804958,247475.4573,NA,3,2,6,1973
Great Central Lake,1979,804958,247475.4573,NA,4,1,6,1973
Great Central Lake,1979,804958,247475.4573,NA,1,5,7,1972
Great Central Lake,1979,804958,247475.4573,NA,2,4,7,1972
Great Central Lake,1979,804958,247475.4573,NA,3,3,7,1972
Great Central Lake,1979,804958,247475.4573,NA,4,2,7,1972
Great Central Lake,1979,804958,247475.4573,NA,4,3,8,1971
Great Central Lake,1979,804958,247475.4573,NA,0,1,2,1977
Great Central Lake,1980,678372,246041.4109,18325,1,1,3,1977
Great Central Lake,1980,678372,246041.4109,305836,1,2,4,1976
Great Central Lake,1980,678372,246041.4109,2076,2,1,4,1976
Great Central Lake,1980,678372,246041.4109,251682,1,3,5,1975
Great Central Lake,1980,678372,246041.4109,80302,2,2,5,1975
Great Central Lake,1980,678372,246041.4109,NA,1,4,6,1974
Great Central Lake,1980,678372,246041.4109,20152,2,3,6,1974
Great Central Lake,1980,678372,246041.4109,NA,0,2,3,1977
Great Central Lake,1980,678372,246041.4109,NA,0,3,4,1976
Great Central Lake,1980,678372,246041.4109,NA,3,1,5,1975
Great Central Lake,1980,678372,246041.4109,NA,3,2,6,1974
Great Central Lake,1980,678372,246041.4109,NA,4,1,6,1974
Great Central Lake,1980,678372,246041.4109,NA,1,5,7,1973
Great Central Lake,1980,678372,246041.4109,NA,2,4,7,1973
Great Central Lake,1980,678372,246041.4109,NA,3,3,7,1973
Great Central Lake,1980,678372,246041.4109,NA,4,2,7,1973
Great Central Lake,1980,678372,246041.4109,NA,4,3,8,1972
Great Central Lake,1980,678372,246041.4109,NA,0,1,2,1978
Great Central Lake,1981,771077,195123.9818,29774,1,1,3,1978
Great Central Lake,1981,771077,195123.9818,370181,1,2,4,1977
Great Central Lake,1981,771077,195123.9818,3174,2,1,4,1977
Great Central Lake,1981,771077,195123.9818,283035,1,3,5,1976
Great Central Lake,1981,771077,195123.9818,56514,2,2,5,1976
Great Central Lake,1981,771077,195123.9818,NA,1,4,6,1975
Great Central Lake,1981,771077,195123.9818,28399,2,3,6,1975
Great Central Lake,1981,771077,195123.9818,NA,0,2,3,1978
Great Central Lake,1981,771077,195123.9818,NA,0,3,4,1977
Great Central Lake,1981,771077,195123.9818,NA,3,1,5,1976
Great Central Lake,1981,771077,195123.9818,NA,3,2,6,1975
Great Central Lake,1981,771077,195123.9818,NA,4,1,6,1975
Great Central Lake,1981,771077,195123.9818,NA,1,5,7,1974
Great Central Lake,1981,771077,195123.9818,NA,2,4,7,1974
Great Central Lake,1981,771077,195123.9818,NA,3,3,7,1974
Great Central Lake,1981,771077,195123.9818,NA,4,2,7,1974
Great Central Lake,1981,771077,195123.9818,NA,4,3,8,1973
Great Central Lake,1981,771077,195123.9818,NA,0,1,2,1979
Great Central Lake,1982,364506,155579.2603,26260,1,1,3,1979
Great Central Lake,1982,364506,155579.2603,111509,1,2,4,1978
Great Central Lake,1982,364506,155579.2603,2519,2,1,4,1978
Great Central Lake,1982,364506,155579.2603,178731,1,3,5,1977
Great Central Lake,1982,364506,155579.2603,30889,2,2,5,1977
Great Central Lake,1982,364506,155579.2603,NA,1,4,6,1976
Great Central Lake,1982,364506,155579.2603,14598,2,3,6,1976
Great Central Lake,1982,364506,155579.2603,NA,0,2,3,1979
Great Central Lake,1982,364506,155579.2603,NA,0,3,4,1978
Great Central Lake,1982,364506,155579.2603,NA,3,1,5,1977
Great Central Lake,1982,364506,155579.2603,NA,3,2,6,1976
Great Central Lake,1982,364506,155579.2603,NA,4,1,6,1976
Great Central Lake,1982,364506,155579.2603,NA,1,5,7,1975
Great Central Lake,1982,364506,155579.2603,NA,2,4,7,1975
Great Central Lake,1982,364506,155579.2603,NA,3,3,7,1975
Great Central Lake,1982,364506,155579.2603,NA,4,2,7,1975
Great Central Lake,1982,364506,155579.2603,NA,4,3,8,1974
Great Central Lake,1982,364506,155579.2603,NA,0,1,2,1980
Great Central Lake,1983,856130,339203.6871,19788,1,1,3,1980
Great Central Lake,1983,856130,339203.6871,435023,1,2,4,1979
Great Central Lake,1983,856130,339203.6871,2707,2,1,4,1979
Great Central Lake,1983,856130,339203.6871,312772,1,3,5,1978
Great Central Lake,1983,856130,339203.6871,53398,2,2,5,1978
Great Central Lake,1983,856130,339203.6871,NA,1,4,6,1977
Great Central Lake,1983,856130,339203.6871,32442,2,3,6,1977
Great Central Lake,1983,856130,339203.6871,NA,0,2,3,1980
Great Central Lake,1983,856130,339203.6871,NA,0,3,4,1979
Great Central Lake,1983,856130,339203.6871,NA,3,1,5,1978
Great Central Lake,1983,856130,339203.6871,NA,3,2,6,1977
Great Central Lake,1983,856130,339203.6871,NA,4,1,6,1977
Great Central Lake,1983,856130,339203.6871,NA,1,5,7,1976
Great Central Lake,1983,856130,339203.6871,NA,2,4,7,1976
Great Central Lake,1983,856130,339203.6871,NA,3,3,7,1976
Great Central Lake,1983,856130,339203.6871,NA,4,2,7,1976
Great Central Lake,1983,856130,339203.6871,NA,4,3,8,1975
Great Central Lake,1983,856130,339203.6871,NA,0,1,2,1981
Great Central Lake,1984,652145,131000.4259,6232,1,1,3,1981
Great Central Lake,1984,652145,131000.4259,222607,1,2,4,1980
Great Central Lake,1984,652145,131000.4259,0,2,1,4,1980
Great Central Lake,1984,652145,131000.4259,353392,1,3,5,1979
Great Central Lake,1984,652145,131000.4259,53053,2,2,5,1979
Great Central Lake,1984,652145,131000.4259,NA,1,4,6,1978
Great Central Lake,1984,652145,131000.4259,16860,2,3,6,1978
Great Central Lake,1984,652145,131000.4259,NA,0,2,3,1981
Great Central Lake,1984,652145,131000.4259,NA,0,3,4,1980
Great Central Lake,1984,652145,131000.4259,NA,3,1,5,1979
Great Central Lake,1984,652145,131000.4259,NA,3,2,6,1978
Great Central Lake,1984,652145,131000.4259,NA,4,1,6,1978
Great Central Lake,1984,652145,131000.4259,NA,1,5,7,1977
Great Central Lake,1984,652145,131000.4259,NA,2,4,7,1977
Great Central Lake,1984,652145,131000.4259,NA,3,3,7,1977
Great Central Lake,1984,652145,131000.4259,NA,4,2,7,1977
Great Central Lake,1984,652145,131000.4259,NA,4,3,8,1976
Great Central Lake,1984,652145,131000.4259,NA,0,1,2,1982
Great Central Lake,1985,437874,112339.1475,14150,1,1,3,1982
Great Central Lake,1985,437874,112339.1475,133929,1,2,4,1981
Great Central Lake,1985,437874,112339.1475,9372,2,1,4,1981
Great Central Lake,1985,437874,112339.1475,215218,1,3,5,1980
Great Central Lake,1985,437874,112339.1475,21831,2,2,5,1980
Great Central Lake,1985,437874,112339.1475,NA,1,4,6,1979
Great Central Lake,1985,437874,112339.1475,43375,2,3,6,1979
Great Central Lake,1985,437874,112339.1475,NA,0,2,3,1982
Great Central Lake,1985,437874,112339.1475,NA,0,3,4,1981
Great Central Lake,1985,437874,112339.1475,NA,3,1,5,1980
Great Central Lake,1985,437874,112339.1475,NA,3,2,6,1979
Great Central Lake,1985,437874,112339.1475,NA,4,1,6,1979
Great Central Lake,1985,437874,112339.1475,NA,1,5,7,1978
Great Central Lake,1985,437874,112339.1475,NA,2,4,7,1978
Great Central Lake,1985,437874,112339.1475,NA,3,3,7,1978
Great Central Lake,1985,437874,112339.1475,NA,4,2,7,1978
Great Central Lake,1985,437874,112339.1475,NA,4,3,8,1977
Great Central Lake,1985,437874,112339.1475,NA,0,1,2,1983
Great Central Lake,1986,148123,119819.7732,15809,1,1,3,1983
Great Central Lake,1986,148123,119819.7732,64499,1,2,4,1982
Great Central Lake,1986,148123,119819.7732,2196,2,1,4,1982
Great Central Lake,1986,148123,119819.7732,57187,1,3,5,1981
Great Central Lake,1986,148123,119819.7732,7276,2,2,5,1981
Great Central Lake,1986,148123,119819.7732,NA,1,4,6,1980
Great Central Lake,1986,148123,119819.7732,1155,2,3,6,1980
Great Central Lake,1986,148123,119819.7732,NA,0,2,3,1983
Great Central Lake,1986,148123,119819.7732,NA,0,3,4,1982
Great Central Lake,1986,148123,119819.7732,NA,3,1,5,1981
Great Central Lake,1986,148123,119819.7732,NA,3,2,6,1980
Great Central Lake,1986,148123,119819.7732,NA,4,1,6,1980
Great Central Lake,1986,148123,119819.7732,NA,1,5,7,1979
Great Central Lake,1986,148123,119819.7732,NA,2,4,7,1979
Great Central Lake,1986,148123,119819.7732,NA,3,3,7,1979
Great Central Lake,1986,148123,119819.7732,NA,4,2,7,1979
Great Central Lake,1986,148123,119819.7732,NA,4,3,8,1978
Great Central Lake,1986,148123,119819.7732,NA,0,1,2,1984
Great Central Lake,1987,373732,277561.6341,14798,1,1,3,1984
Great Central Lake,1987,373732,277561.6341,295809,1,2,4,1983
Great Central Lake,1987,373732,277561.6341,3425,2,1,4,1983
Great Central Lake,1987,373732,277561.6341,11042,1,3,5,1982
Great Central Lake,1987,373732,277561.6341,38531,2,2,5,1982
Great Central Lake,1987,373732,277561.6341,NA,1,4,6,1981
Great Central Lake,1987,373732,277561.6341,10127,2,3,6,1981
Great Central Lake,1987,373732,277561.6341,NA,0,2,3,1984
Great Central Lake,1987,373732,277561.6341,NA,0,3,4,1983
Great Central Lake,1987,373732,277561.6341,NA,3,1,5,1982
Great Central Lake,1987,373732,277561.6341,NA,3,2,6,1981
Great Central Lake,1987,373732,277561.6341,NA,4,1,6,1981
Great Central Lake,1987,373732,277561.6341,NA,1,5,7,1980
Great Central Lake,1987,373732,277561.6341,NA,2,4,7,1980
Great Central Lake,1987,373732,277561.6341,NA,3,3,7,1980
Great Central Lake,1987,373732,277561.6341,NA,4,2,7,1980
Great Central Lake,1987,373732,277561.6341,NA,4,3,8,1979
Great Central Lake,1987,373732,277561.6341,NA,0,1,2,1985
Great Central Lake,1988,353509,195326.5653,14135,1,1,3,1985
Great Central Lake,1988,353509,195326.5653,150930,1,2,4,1984
Great Central Lake,1988,353509,195326.5653,1056,2,1,4,1984
Great Central Lake,1988,353509,195326.5653,113319,1,3,5,1983
Great Central Lake,1988,353509,195326.5653,67411,2,2,5,1983
Great Central Lake,1988,353509,195326.5653,NA,1,4,6,1982
Great Central Lake,1988,353509,195326.5653,6658,2,3,6,1982
Great Central Lake,1988,353509,195326.5653,NA,0,2,3,1985
Great Central Lake,1988,353509,195326.5653,NA,0,3,4,1984
Great Central Lake,1988,353509,195326.5653,NA,3,1,5,1983
Great Central Lake,1988,353509,195326.5653,NA,3,2,6,1982
Great Central Lake,1988,353509,195326.5653,NA,4,1,6,1982
Great Central Lake,1988,353509,195326.5653,NA,1,5,7,1981
Great Central Lake,1988,353509,195326.5653,NA,2,4,7,1981
Great Central Lake,1988,353509,195326.5653,NA,3,3,7,1981
Great Central Lake,1988,353509,195326.5653,NA,4,2,7,1981
Great Central Lake,1988,353509,195326.5653,NA,4,3,8,1980
Great Central Lake,1988,353509,195326.5653,NA,0,1,2,1986
Great Central Lake,1989,256187,171651.586,56852,1,1,3,1986
Great Central Lake,1989,256187,171651.586,140227,1,2,4,1985
Great Central Lake,1989,256187,171651.586,15070,2,1,4,1985
Great Central Lake,1989,256187,171651.586,29405,1,3,5,1984
Great Central Lake,1989,256187,171651.586,7314,2,2,5,1984
Great Central Lake,1989,256187,171651.586,NA,1,4,6,1983
Great Central Lake,1989,256187,171651.586,7319,2,3,6,1983
Great Central Lake,1989,256187,171651.586,NA,0,2,3,1986
Great Central Lake,1989,256187,171651.586,NA,0,3,4,1985
Great Central Lake,1989,256187,171651.586,NA,3,1,5,1984
Great Central Lake,1989,256187,171651.586,NA,3,2,6,1983
Great Central Lake,1989,256187,171651.586,NA,4,1,6,1983
Great Central Lake,1989,256187,171651.586,NA,1,5,7,1982
Great Central Lake,1989,256187,171651.586,NA,2,4,7,1982
Great Central Lake,1989,256187,171651.586,NA,3,3,7,1982
Great Central Lake,1989,256187,171651.586,NA,4,2,7,1982
Great Central Lake,1989,256187,171651.586,NA,4,3,8,1981
Great Central Lake,1989,256187,171651.586,NA,0,1,2,1987
Great Central Lake,1990,198444,163320.2965,14598,1,1,3,1987
Great Central Lake,1990,198444,163320.2965,68115,1,2,4,1986
Great Central Lake,1990,198444,163320.2965,2054,2,1,4,1986
Great Central Lake,1990,198444,163320.2965,66649,1,3,5,1985
Great Central Lake,1990,198444,163320.2965,43805,2,2,5,1985
Great Central Lake,1990,198444,163320.2965,NA,1,4,6,1984
Great Central Lake,1990,198444,163320.2965,3223,2,3,6,1984
Great Central Lake,1990,198444,163320.2965,NA,0,2,3,1987
Great Central Lake,1990,198444,163320.2965,NA,0,3,4,1986
Great Central Lake,1990,198444,163320.2965,NA,3,1,5,1985
Great Central Lake,1990,198444,163320.2965,NA,3,2,6,1984
Great Central Lake,1990,198444,163320.2965,NA,4,1,6,1984
Great Central Lake,1990,198444,163320.2965,NA,1,5,7,1983
Great Central Lake,1990,198444,163320.2965,NA,2,4,7,1983
Great Central Lake,1990,198444,163320.2965,NA,3,3,7,1983
Great Central Lake,1990,198444,163320.2965,NA,4,2,7,1983
Great Central Lake,1990,198444,163320.2965,NA,4,3,8,1982
Great Central Lake,1990,198444,163320.2965,NA,0,1,2,1988
Great Central Lake,1991,1240904,402976.0583,37277,1,1,3,1988
Great Central Lake,1991,1240904,402976.0583,1030482,1,2,4,1987
Great Central Lake,1991,1240904,402976.0583,17155,2,1,4,1987
Great Central Lake,1991,1240904,402976.0583,124947,1,3,5,1986
Great Central Lake,1991,1240904,402976.0583,18868,2,2,5,1986
Great Central Lake,1991,1240904,402976.0583,NA,1,4,6,1985
Great Central Lake,1991,1240904,402976.0583,12176,2,3,6,1985
Great Central Lake,1991,1240904,402976.0583,NA,0,2,3,1988
Great Central Lake,1991,1240904,402976.0583,NA,0,3,4,1987
Great Central Lake,1991,1240904,402976.0583,NA,3,1,5,1986
Great Central Lake,1991,1240904,402976.0583,NA,3,2,6,1985
Great Central Lake,1991,1240904,402976.0583,NA,4,1,6,1985
Great Central Lake,1991,1240904,402976.0583,NA,1,5,7,1984
Great Central Lake,1991,1240904,402976.0583,NA,2,4,7,1984
Great Central Lake,1991,1240904,402976.0583,NA,3,3,7,1984
Great Central Lake,1991,1240904,402976.0583,NA,4,2,7,1984
Great Central Lake,1991,1240904,402976.0583,NA,4,3,8,1983
Great Central Lake,1991,1240904,402976.0583,NA,0,1,2,1989
Great Central Lake,1992,366708,149897.5377,37401,1,1,3,1989
Great Central Lake,1992,366708,149897.5377,144332,1,2,4,1988
Great Central Lake,1992,366708,149897.5377,6737,2,1,4,1988
Great Central Lake,1992,366708,149897.5377,104832,1,3,5,1987
Great Central Lake,1992,366708,149897.5377,69930,2,2,5,1987
Great Central Lake,1992,366708,149897.5377,NA,1,4,6,1986
Great Central Lake,1992,366708,149897.5377,3476,2,3,6,1986
Great Central Lake,1992,366708,149897.5377,NA,0,2,3,1989
Great Central Lake,1992,366708,149897.5377,NA,0,3,4,1988
Great Central Lake,1992,366708,149897.5377,NA,3,1,5,1987
Great Central Lake,1992,366708,149897.5377,NA,3,2,6,1986
Great Central Lake,1992,366708,149897.5377,NA,4,1,6,1986
Great Central Lake,1992,366708,149897.5377,NA,1,5,7,1985
Great Central Lake,1992,366708,149897.5377,NA,2,4,7,1985
Great Central Lake,1992,366708,149897.5377,NA,3,3,7,1985
Great Central Lake,1992,366708,149897.5377,NA,4,2,7,1985
Great Central Lake,1992,366708,149897.5377,NA,4,3,8,1984
Great Central Lake,1992,366708,149897.5377,NA,0,1,2,1990
Great Central Lake,1993,674184,227693.7006,19488,1,1,3,1990
Great Central Lake,1993,674184,227693.7006,239536,1,2,4,1989
Great Central Lake,1993,674184,227693.7006,8767,2,1,4,1989
Great Central Lake,1993,674184,227693.7006,318602,1,3,5,1988
Great Central Lake,1993,674184,227693.7006,66531,2,2,5,1988
Great Central Lake,1993,674184,227693.7006,NA,1,4,6,1987
Great Central Lake,1993,674184,227693.7006,21260,2,3,6,1987
Great Central Lake,1993,674184,227693.7006,NA,0,2,3,1990
Great Central Lake,1993,674184,227693.7006,NA,0,3,4,1989
Great Central Lake,1993,674184,227693.7006,NA,3,1,5,1988
Great Central Lake,1993,674184,227693.7006,NA,3,2,6,1987
Great Central Lake,1993,674184,227693.7006,NA,4,1,6,1987
Great Central Lake,1993,674184,227693.7006,NA,1,5,7,1986
Great Central Lake,1993,674184,227693.7006,NA,2,4,7,1986
Great Central Lake,1993,674184,227693.7006,NA,3,3,7,1986
Great Central Lake,1993,674184,227693.7006,NA,4,2,7,1986
Great Central Lake,1993,674184,227693.7006,NA,4,3,8,1985
Great Central Lake,1993,674184,227693.7006,NA,0,1,2,1991
Great Central Lake,1994,210846,113120.7706,151,1,1,3,1991
Great Central Lake,1994,210846,113120.7706,74815,1,2,4,1990
Great Central Lake,1994,210846,113120.7706,294,2,1,4,1990
Great Central Lake,1994,210846,113120.7706,95175,1,3,5,1989
Great Central Lake,1994,210846,113120.7706,14101,2,2,5,1989
Great Central Lake,1994,210846,113120.7706,NA,1,4,6,1988
Great Central Lake,1994,210846,113120.7706,26310,2,3,6,1988
Great Central Lake,1994,210846,113120.7706,NA,0,2,3,1991
Great Central Lake,1994,210846,113120.7706,NA,0,3,4,1990
Great Central Lake,1994,210846,113120.7706,NA,3,1,5,1989
Great Central Lake,1994,210846,113120.7706,NA,3,2,6,1988
Great Central Lake,1994,210846,113120.7706,NA,4,1,6,1988
Great Central Lake,1994,210846,113120.7706,NA,1,5,7,1987
Great Central Lake,1994,210846,113120.7706,NA,2,4,7,1987
